Transaction ID,Datetime,Merchant,Category,Amount,Description,Balance
T0001706,2022-12-22 22:06:00,Netflix,Clothing,357.71,Debit at Netflix for Clothing,31623.88
T0001707,2022-12-23 12:11:00,Starbucks,Coffee,138.43,Debit at Starbucks for Coffee,31485.45
T0001708,2022-12-23 14:32:00,TikTok Shop,Beauty Products,336.71,Debit at TikTok Shop for Beauty Products,31148.74
T0001710,2022-12-23 22:11:00,Starbucks,Tech Gadgets,361.3,Debit at Starbucks for Tech Gadgets,30845.87
T0001712,2022-12-24 11:14:00,H&M,Gaming,189.31,Debit at H&M for Gaming,31576.46
T0001713,2022-12-24 14:31:00,Shein,Streaming Subscription,602.62,Debit at Shein for Streaming Subscription,30973.84
T0001715,2022-12-25 00:49:00,PlayStation Store,Food Delivery,909.11,Debit at PlayStation Store for Food Delivery,30531.79
T0001716,2022-12-25 02:04:00,UberEats,Coffee,752.43,Debit at UberEats for Coffee,29779.36
T0001717,2022-12-25 05:42:00,H&M,Tech Gadgets,160.35,Debit at H&M for Tech Gadgets,29619.01
T0001720,2022-12-25 08:14:00,UberEats,Social Media Purchases,607.31,Debit at UberEats for Social Media Purchases,29666.84
T0001726,2022-12-26 15:15:00,Amazon,Beauty Products,230.62,Debit at Amazon for Beauty Products,31391.1
T0001728,2022-12-27 01:50:00,Shein,Tech Gadgets,780.44,Debit at Shein for Tech Gadgets,31410.03
T0001729,2022-12-27 05:25:00,H&M,Food Delivery,405.47,Debit at H&M for Food Delivery,31004.56
T0001732,2022-12-27 06:36:00,H&M,Social Media Purchases,9.32,Debit at H&M for Social Media Purchases,32634.58
T0001733,2022-12-27 11:53:00,Starbucks,Gaming,274.53,Debit at Starbucks for Gaming,32360.05
T0001734,2022-12-27 12:00:00,H&M,Tech Gadgets,874.59,Debit at H&M for Tech Gadgets,31485.46
T0001736,2022-12-27 16:34:00,Starbucks,Food Delivery,275.98,Debit at Starbucks for Food Delivery,32203.46
T0001737,2022-12-27 19:04:00,Amazon,Social Media Purchases,563.61,Debit at Amazon for Social Media Purchases,31639.85
T0001738,2022-12-27 21:43:00,Apple Store,Gaming,898.18,Debit at Apple Store for Gaming,30741.67
T0001739,2022-12-28 00:09:00,PlayStation Store,Food Delivery,961.71,Debit at PlayStation Store for Food Delivery,29779.96
T0001742,2022-12-28 14:20:00,Sephora,Clothing,398.09,Debit at Sephora for Clothing,30268.63
T0001744,2022-12-29 00:21:00,Shein,Clothing,574.01,Debit at Shein for Clothing,30101.32
T0001745,2022-12-29 08:56:00,UberEats,Food Delivery,12.31,Debit at UberEats for Food Delivery,30089.01
T0001751,2022-12-31 05:01:00,Starbucks,Beauty Products,144.59,Debit at Starbucks for Beauty Products,32835.7
T0001752,2022-12-31 06:55:00,Apple Store,Coffee,712.23,Debit at Apple Store for Coffee,32123.47
T0001755,2023-01-01 02:00:00,Shein,Streaming Subscription,65.86,Debit at Shein for Streaming Subscription,33121.82
T0001756,2023-01-01 05:57:00,Sephora,Gaming,60.82,Debit at Sephora for Gaming,33061.0
T0001757,2023-01-01 13:58:00,Sephora,Clothing,838.45,Debit at Sephora for Clothing,32222.55
T0001760,2023-01-03 01:34:00,Shein,Tech Gadgets,676.95,Debit at Shein for Tech Gadgets,32459.36
T0001761,2023-01-03 06:39:00,Sephora,Clothing,772.78,Debit at Sephora for Clothing,31686.58
T0001762,2023-01-03 18:34:00,Shein,Gaming,644.58,Debit at Shein for Gaming,31042.0
T0001763,2023-01-03 22:56:00,Sephora,Streaming Subscription,122.82,Debit at Sephora for Streaming Subscription,30919.18
T0001765,2023-01-04 15:58:00,Apple Store,Coffee,343.89,Debit at Apple Store for Coffee,31286.56
T0001767,2023-01-04 20:15:00,Sephora,Social Media Purchases,740.61,Debit at Sephora for Social Media Purchases,30582.5
T0001769,2023-01-04 21:43:00,Netflix,Beauty Products,311.87,Debit at Netflix for Beauty Products,30514.06
T0001771,2023-01-05 23:16:00,Sephora,Coffee,976.36,Debit at Sephora for Coffee,29808.0
T0001775,2023-01-06 23:16:00,Amazon,Coffee,61.41,Debit at Amazon for Coffee,30351.07
T0001778,2023-01-07 10:16:00,Sephora,Food Delivery,948.82,Debit at Sephora for Food Delivery,30864.12
T0001779,2023-01-07 14:55:00,Netflix,Social Media Purchases,382.5,Debit at Netflix for Social Media Purchases,30481.62
T0001781,2023-01-07 23:21:00,Amazon,Food Delivery,759.41,Debit at Amazon for Food Delivery,30277.87
T0001787,2023-01-08 09:42:00,Spotify,Gaming,63.16,Debit at Spotify for Gaming,32807.27
T0001788,2023-01-08 17:41:00,Spotify,Clothing,654.77,Debit at Spotify for Clothing,32152.5
T0001790,2023-01-08 18:58:00,H&M,Food Delivery,321.82,Debit at H&M for Food Delivery,32806.82
T0001791,2023-01-09 05:40:00,TikTok Shop,Beauty Products,745.15,Debit at TikTok Shop for Beauty Products,32061.67
T0001794,2023-01-09 15:41:00,UberEats,Beauty Products,259.23,Debit at UberEats for Beauty Products,32937.33
T0001795,2023-01-09 17:14:00,Sephora,Streaming Subscription,274.09,Debit at Sephora for Streaming Subscription,32663.24
T0001796,2023-01-09 18:04:00,PlayStation Store,Gaming,497.65,Debit at PlayStation Store for Gaming,32165.59
T0001799,2023-01-10 13:26:00,Netflix,Gaming,711.43,Debit at Netflix for Gaming,32525.93
T0001801,2023-01-10 15:46:00,Apple Store,Coffee,466.53,Debit at Apple Store for Coffee,32558.88
T0001803,2023-01-11 04:04:00,PlayStation Store,Beauty Products,771.39,Debit at PlayStation Store for Beauty Products,31913.52
T0001804,2023-01-11 07:51:00,Apple Store,Coffee,846.54,Debit at Apple Store for Coffee,31066.98
T0001805,2023-01-11 23:02:00,UberEats,Coffee,342.26,Debit at UberEats for Coffee,30724.72
T0001806,2023-01-12 06:28:00,Starbucks,Gaming,411.26,Debit at Starbucks for Gaming,30313.46
T0001808,2023-01-12 14:34:00,Starbucks,Clothing,936.76,Debit at Starbucks for Clothing,29827.86
T0001810,2023-01-13 09:27:00,Netflix,Coffee,903.15,Debit at Netflix for Coffee,29408.94
T0001811,2023-01-13 11:23:00,Spotify,Coffee,209.87,Debit at Spotify for Coffee,29199.07
T0001813,2023-01-13 20:32:00,Spotify,Food Delivery,132.28,Debit at Spotify for Food Delivery,29922.34
T0001814,2023-01-14 00:36:00,Spotify,Social Media Purchases,18.57,Debit at Spotify for Social Media Purchases,29903.77
T0001815,2023-01-14 04:21:00,Shein,Clothing,334.82,Debit at Shein for Clothing,29568.95
T0001818,2023-01-14 09:38:00,Apple Store,Gaming,867.92,Debit at Apple Store for Gaming,29848.1
T0001819,2023-01-14 13:45:00,PlayStation Store,Food Delivery,204.98,Debit at PlayStation Store for Food Delivery,29643.12
T0001820,2023-01-14 16:13:00,UberEats,Tech Gadgets,640.47,Debit at UberEats for Tech Gadgets,29002.65
T0001821,2023-01-15 09:19:00,Shein,Gaming,466.98,Debit at Shein for Gaming,28535.67
T0001822,2023-01-15 11:22:00,PlayStation Store,Streaming Subscription,804.71,Debit at PlayStation Store for Streaming Subscription,27730.96
T0001823,2023-01-15 15:52:00,H&M,Social Media Purchases,303.82,Debit at H&M for Social Media Purchases,27427.14
T0001824,2023-01-15 18:38:00,Spotify,Gaming,779.08,Debit at Spotify for Gaming,26648.06
T0001825,2023-01-16 04:13:00,Shein,Gaming,942.14,Debit at Shein for Gaming,25705.92
T0001826,2023-01-16 05:11:00,Starbucks,Clothing,864.99,Debit at Starbucks for Clothing,24840.93
T0001827,2023-01-16 22:37:00,Amazon,Tech Gadgets,11.69,Debit at Amazon for Tech Gadgets,24829.24
T0001831,2023-01-17 13:19:00,Shein,Beauty Products,256.54,Debit at Shein for Beauty Products,25382.43
T0001832,2023-01-17 15:37:00,Shein,Clothing,897.61,Debit at Shein for Clothing,24484.82
T0001834,2023-01-17 16:58:00,UberEats,Streaming Subscription,957.23,Debit at UberEats for Streaming Subscription,23903.04
T0001835,2023-01-17 20:11:00,Shein,Social Media Purchases,525.07,Debit at Shein for Social Media Purchases,23377.97
T0001838,2023-01-18 17:23:00,Starbucks,Beauty Products,699.74,Debit at Starbucks for Beauty Products,23852.23
T0001843,2023-01-19 18:52:00,TikTok Shop,Coffee,292.14,Debit at TikTok Shop for Coffee,25456.1
T0001844,2023-01-20 05:25:00,Sephora,Coffee,694.34,Debit at Sephora for Coffee,24761.76
T0001849,2023-01-21 11:39:00,H&M,Streaming Subscription,577.23,Debit at H&M for Streaming Subscription,26700.97
T0001850,2023-01-21 13:46:00,PlayStation Store,Streaming Subscription,805.6,Debit at PlayStation Store for Streaming Subscription,25895.37
T0001851,2023-01-21 14:37:00,Sephora,Gaming,250.02,Debit at Sephora for Gaming,25645.35
T0001853,2023-01-21 20:20:00,H&M,Food Delivery,831.67,Debit at H&M for Food Delivery,25796.05
T0001854,2023-01-22 10:07:00,H&M,Food Delivery,694.06,Debit at H&M for Food Delivery,25101.99
T0001857,2023-01-22 13:53:00,PlayStation Store,Streaming Subscription,762.77,Debit at PlayStation Store for Streaming Subscription,26008.02
T0001859,2023-01-23 05:05:00,Apple Store,Clothing,328.99,Debit at Apple Store for Clothing,26463.66
T0001862,2023-01-24 10:46:00,PlayStation Store,Tech Gadgets,251.61,Debit at PlayStation Store for Tech Gadgets,27157.04
T0001865,2023-01-25 07:30:00,Sephora,Food Delivery,50.61,Debit at Sephora for Food Delivery,28028.05
T0001866,2023-01-25 08:57:00,TikTok Shop,Streaming Subscription,414.97,Debit at TikTok Shop for Streaming Subscription,27613.08
T0001867,2023-01-25 21:16:00,Sephora,Beauty Products,688.17,Debit at Sephora for Beauty Products,26924.91
T0001874,2023-01-27 21:25:00,Starbucks,Beauty Products,293.31,Debit at Starbucks for Beauty Products,29331.22
T0001877,2023-01-28 10:59:00,H&M,Streaming Subscription,129.68,Debit at H&M for Streaming Subscription,31060.9
T0001881,2023-01-28 14:18:00,PlayStation Store,Gaming,512.57,Debit at PlayStation Store for Gaming,32652.12
T0001882,2023-01-29 12:51:00,Spotify,Social Media Purchases,363.86,Debit at Spotify for Social Media Purchases,32288.26
T0001885,2023-01-30 03:07:00,Spotify,Food Delivery,622.81,Debit at Spotify for Food Delivery,31856.55
T0001886,2023-01-30 03:19:00,Amazon,Clothing,890.69,Debit at Amazon for Clothing,30965.86
T0001888,2023-01-30 05:13:00,H&M,Streaming Subscription,831.57,Debit at H&M for Streaming Subscription,30902.07
T0001889,2023-01-30 05:58:00,Shein,Tech Gadgets,632.35,Debit at Shein for Tech Gadgets,30269.72
T0001890,2023-01-30 14:28:00,UberEats,Social Media Purchases,841.96,Debit at UberEats for Social Media Purchases,29427.76
T0001891,2023-01-30 16:47:00,Apple Store,Food Delivery,91.47,Debit at Apple Store for Food Delivery,29336.29
T0001892,2023-01-30 22:26:00,Apple Store,Social Media Purchases,821.11,Debit at Apple Store for Social Media Purchases,28515.18
T0001893,2023-01-31 13:21:00,Amazon,Beauty Products,425.98,Debit at Amazon for Beauty Products,28089.2
T0001895,2023-01-31 21:08:00,Starbucks,Beauty Products,958.31,Debit at Starbucks for Beauty Products,27191.35
T0001898,2023-02-01 13:58:00,Starbucks,Food Delivery,149.4,Debit at Starbucks for Food Delivery,28231.77
T0001899,2023-02-01 15:27:00,Apple Store,Social Media Purchases,308.82,Debit at Apple Store for Social Media Purchases,27922.95
T0001903,2023-02-02 06:47:00,Netflix,Coffee,681.68,Debit at Netflix for Coffee,28397.85
T0001909,2023-02-03 08:03:00,Shein,Social Media Purchases,687.1,Debit at Shein for Social Media Purchases,28638.14
T0001910,2023-02-03 21:05:00,Starbucks,Clothing,142.04,Debit at Starbucks for Clothing,28496.1
T0001912,2023-02-04 08:36:00,H&M,Social Media Purchases,844.0,Debit at H&M for Social Media Purchases,28536.83
T0001913,2023-02-04 15:50:00,UberEats,Tech Gadgets,205.1,Debit at UberEats for Tech Gadgets,28331.73
T0001915,2023-02-04 16:03:00,Netflix,Streaming Subscription,967.48,Debit at Netflix for Streaming Subscription,27985.97
T0001916,2023-02-05 01:49:00,Netflix,Tech Gadgets,297.32,Debit at Netflix for Tech Gadgets,27688.65
T0001917,2023-02-05 03:23:00,Shein,Clothing,120.89,Debit at Shein for Clothing,27567.76
T0001918,2023-02-05 17:55:00,Shein,Coffee,647.65,Debit at Shein for Coffee,26920.11
T0001920,2023-02-05 20:09:00,TikTok Shop,Clothing,553.67,Debit at TikTok Shop for Clothing,26387.67
T0001922,2023-02-06 06:52:00,H&M,Gaming,606.66,Debit at H&M for Gaming,26618.04
T0001924,2023-02-06 07:12:00,H&M,Coffee,968.86,Debit at H&M for Coffee,25920.47
T0001930,2023-02-07 15:31:00,Sephora,Food Delivery,395.93,Debit at Sephora for Food Delivery,28475.2
T0001932,2023-02-08 08:03:00,Netflix,Streaming Subscription,453.26,Debit at Netflix for Streaming Subscription,28859.94
T0001935,2023-02-08 12:01:00,Amazon,Social Media Purchases,184.76,Debit at Amazon for Social Media Purchases,29274.3
T0001936,2023-02-08 16:05:00,Spotify,Food Delivery,285.59,Debit at Spotify for Food Delivery,28988.71
T0001939,2023-02-09 05:52:00,Netflix,Clothing,955.61,Debit at Netflix for Clothing,29179.58
T0001940,2023-02-09 08:58:00,Spotify,Beauty Products,733.38,Debit at Spotify for Beauty Products,28446.2
T0001941,2023-02-09 12:46:00,Starbucks,Clothing,978.93,Debit at Starbucks for Clothing,27467.27
T0001943,2023-02-10 01:08:00,PlayStation Store,Food Delivery,470.6,Debit at PlayStation Store for Food Delivery,27392.34
T0001949,2023-02-11 05:41:00,UberEats,Beauty Products,466.69,Debit at UberEats for Beauty Products,29664.67
T0001950,2023-02-11 08:02:00,H&M,Social Media Purchases,284.89,Debit at H&M for Social Media Purchases,29379.78
T0001951,2023-02-11 15:18:00,Netflix,Coffee,161.4,Debit at Netflix for Coffee,29218.38
T0001954,2023-02-12 15:09:00,Apple Store,Clothing,140.27,Debit at Apple Store for Clothing,29519.99
T0001955,2023-02-12 17:46:00,Amazon,Beauty Products,710.3,Debit at Amazon for Beauty Products,28809.69
T0001956,2023-02-12 19:06:00,TikTok Shop,Coffee,913.99,Debit at TikTok Shop for Coffee,27895.7
T0001957,2023-02-12 20:39:00,UberEats,Beauty Products,322.81,Debit at UberEats for Beauty Products,27572.89
T0001959,2023-02-13 11:30:00,UberEats,Coffee,949.61,Debit at UberEats for Coffee,26701.44
T0001962,2023-02-14 07:38:00,Netflix,Gaming,691.58,Debit at Netflix for Gaming,27452.17
T0001963,2023-02-14 09:18:00,Starbucks,Gaming,442.0,Debit at Starbucks for Gaming,27010.17
T0001964,2023-02-14 20:58:00,Spotify,Coffee,470.38,Debit at Spotify for Coffee,26539.79
T0001967,2023-02-15 15:39:00,PlayStation Store,Clothing,554.16,Debit at PlayStation Store for Clothing,26867.79
T0001968,2023-02-15 20:08:00,Sephora,Social Media Purchases,267.25,Debit at Sephora for Social Media Purchases,26600.54
T0001969,2023-02-16 05:49:00,UberEats,Beauty Products,193.23,Debit at UberEats for Beauty Products,26407.31
T0001971,2023-02-16 23:00:00,Apple Store,Streaming Subscription,558.97,Debit at Apple Store for Streaming Subscription,26691.53
T0001973,2023-02-17 13:12:00,PlayStation Store,Social Media Purchases,978.93,Debit at PlayStation Store for Social Media Purchases,25807.0
T0001974,2023-02-17 19:54:00,UberEats,Beauty Products,108.12,Debit at UberEats for Beauty Products,25698.88
T0001976,2023-02-18 07:59:00,TikTok Shop,Food Delivery,903.54,Debit at TikTok Shop for Food Delivery,25152.81
T0001977,2023-02-18 11:36:00,Starbucks,Food Delivery,197.41,Debit at Starbucks for Food Delivery,24955.4
T0001978,2023-02-18 13:59:00,Amazon,Gaming,783.35,Debit at Amazon for Gaming,24172.05
T0001979,2023-02-18 22:20:00,Starbucks,Gaming,80.52,Debit at Starbucks for Gaming,24091.53
T0001982,2023-02-19 02:17:00,Sephora,Clothing,546.4,Debit at Sephora for Clothing,24995.63
T0001983,2023-02-19 14:27:00,TikTok Shop,Clothing,372.95,Debit at TikTok Shop for Clothing,24622.68
T0001984,2023-02-19 15:00:00,UberEats,Streaming Subscription,10.21,Debit at UberEats for Streaming Subscription,24612.47
T0001985,2023-02-19 18:09:00,Amazon,Tech Gadgets,640.91,Debit at Amazon for Tech Gadgets,23971.56
T0001987,2023-02-20 06:54:00,Netflix,Coffee,116.59,Debit at Netflix for Coffee,23969.84
T0001990,2023-02-21 01:32:00,Spotify,Coffee,957.72,Debit at Spotify for Coffee,23203.06
T0001995,2023-02-22 17:29:00,Apple Store,Beauty Products,437.51,Debit at Apple Store for Beauty Products,24318.33
T0001996,2023-02-23 03:48:00,Sephora,Food Delivery,314.28,Debit at Sephora for Food Delivery,24004.05
T0001999,2023-02-23 09:11:00,H&M,Streaming Subscription,628.2,Debit at H&M for Streaming Subscription,24170.12
T0002000,2023-02-23 11:10:00,Netflix,Clothing,74.33,Debit at Netflix for Clothing,24095.79
T0002002,2023-02-23 13:54:00,Shein,Tech Gadgets,837.87,Debit at Shein for Tech Gadgets,23299.27
T0002003,2023-02-23 19:46:00,Sephora,Streaming Subscription,824.55,Debit at Sephora for Streaming Subscription,22474.72
T0002004,2023-02-23 20:15:00,Shein,Gaming,216.49,Debit at Shein for Gaming,22258.23
T0002009,2023-02-24 12:16:00,Netflix,Food Delivery,724.39,Debit at Netflix for Food Delivery,23129.54
T0002010,2023-02-24 12:40:00,Apple Store,Tech Gadgets,481.86,Debit at Apple Store for Tech Gadgets,22647.68
T0002012,2023-02-24 15:59:00,Spotify,Streaming Subscription,615.0,Debit at Spotify for Streaming Subscription,22495.58
T0002015,2023-02-25 02:05:00,TikTok Shop,Clothing,665.31,Debit at TikTok Shop for Clothing,22842.25
T0002016,2023-02-25 13:18:00,TikTok Shop,Social Media Purchases,866.59,Debit at TikTok Shop for Social Media Purchases,21975.66
T0002022,2023-02-26 12:03:00,TikTok Shop,Social Media Purchases,930.94,Debit at TikTok Shop for Social Media Purchases,24198.63
T0002024,2023-02-27 08:11:00,Shein,Streaming Subscription,432.94,Debit at Shein for Streaming Subscription,24319.81
T0002025,2023-02-27 17:43:00,TikTok Shop,Beauty Products,612.56,Debit at TikTok Shop for Beauty Products,23707.25
T0002029,2023-02-28 04:18:00,TikTok Shop,Streaming Subscription,513.21,Debit at TikTok Shop for Streaming Subscription,24992.64
T0002032,2023-02-28 18:27:00,TikTok Shop,Clothing,483.34,Debit at TikTok Shop for Clothing,25661.26
T0002033,2023-03-01 07:26:00,Sephora,Streaming Subscription,905.38,Debit at Sephora for Streaming Subscription,24755.88
T0002035,2023-03-01 08:47:00,H&M,Food Delivery,564.56,Debit at H&M for Food Delivery,24785.29
T0002040,2023-03-02 00:10:00,Starbucks,Social Media Purchases,701.6,Debit at Starbucks for Social Media Purchases,26357.95
T0002041,2023-03-02 05:49:00,Sephora,Tech Gadgets,860.83,Debit at Sephora for Tech Gadgets,25497.12
T0002042,2023-03-02 06:21:00,Spotify,Coffee,147.85,Debit at Spotify for Coffee,25349.27
T0002043,2023-03-02 07:32:00,Starbucks,Social Media Purchases,730.02,Debit at Starbucks for Social Media Purchases,24619.25
T0002044,2023-03-02 11:31:00,H&M,Tech Gadgets,751.52,Debit at H&M for Tech Gadgets,23867.73
T0002046,2023-03-02 16:10:00,Spotify,Beauty Products,237.13,Debit at Spotify for Beauty Products,24353.46
T0002047,2023-03-02 16:56:00,Starbucks,Gaming,206.41,Debit at Starbucks for Gaming,24147.05
T0002048,2023-03-02 22:06:00,Shein,Clothing,653.31,Debit at Shein for Clothing,23493.74
T0002050,2023-03-03 16:47:00,Shein,Tech Gadgets,102.43,Debit at Shein for Tech Gadgets,23474.89
T0002051,2023-03-03 19:30:00,Shein,Food Delivery,288.37,Debit at Shein for Food Delivery,23186.52
T0002054,2023-03-04 04:26:00,PlayStation Store,Streaming Subscription,393.99,Debit at PlayStation Store for Streaming Subscription,23194.29
T0002056,2023-03-04 12:02:00,Apple Store,Coffee,149.16,Debit at Apple Store for Coffee,23301.78
T0002059,2023-03-04 23:08:00,TikTok Shop,Beauty Products,421.71,Debit at TikTok Shop for Beauty Products,23329.34
T0002063,2023-03-05 08:52:00,Apple Store,Coffee,288.75,Debit at Apple Store for Coffee,25276.3
T0002065,2023-03-05 12:42:00,Spotify,Gaming,42.19,Debit at Spotify for Gaming,25874.91
T0002066,2023-03-05 16:00:00,PlayStation Store,Social Media Purchases,517.58,Debit at PlayStation Store for Social Media Purchases,25357.33
T0002067,2023-03-05 21:23:00,Apple Store,Tech Gadgets,223.19,Debit at Apple Store for Tech Gadgets,25134.14
T0002068,2023-03-05 22:04:00,PlayStation Store,Food Delivery,97.77,Debit at PlayStation Store for Food Delivery,25036.37
T0002070,2023-03-06 08:17:00,UberEats,Streaming Subscription,169.57,Debit at UberEats for Streaming Subscription,25423.07
T0002071,2023-03-06 16:23:00,Apple Store,Food Delivery,769.4,Debit at Apple Store for Food Delivery,24653.67
T0002073,2023-03-07 03:19:00,H&M,Coffee,715.54,Debit at H&M for Coffee,24935.23
T0002075,2023-03-07 14:47:00,Spotify,Beauty Products,146.75,Debit at Spotify for Beauty Products,25435.65
T0002077,2023-03-07 19:53:00,Shein,Food Delivery,128.87,Debit at Shein for Food Delivery,25587.89
T0002078,2023-03-07 21:05:00,Spotify,Clothing,800.64,Debit at Spotify for Clothing,24787.25
T0002080,2023-03-08 01:40:00,UberEats,Social Media Purchases,457.69,Debit at UberEats for Social Media Purchases,24972.82
T0002082,2023-03-08 13:45:00,Apple Store,Streaming Subscription,457.99,Debit at Apple Store for Streaming Subscription,24997.58
T0002083,2023-03-08 21:20:00,PlayStation Store,Streaming Subscription,647.26,Debit at PlayStation Store for Streaming Subscription,24350.32
T0002084,2023-03-08 22:06:00,Starbucks,Gaming,923.06,Debit at Starbucks for Gaming,23427.26
T0002087,2023-03-09 23:12:00,Amazon,Tech Gadgets,206.63,Debit at Amazon for Tech Gadgets,24675.97
T0002088,2023-03-10 01:19:00,Starbucks,Gaming,990.77,Debit at Starbucks for Gaming,23685.2
T0002089,2023-03-10 01:32:00,H&M,Streaming Subscription,433.99,Debit at H&M for Streaming Subscription,23251.21
T0002090,2023-03-10 01:33:00,Sephora,Gaming,393.29,Debit at Sephora for Gaming,22857.92
T0002091,2023-03-10 07:55:00,Starbucks,Tech Gadgets,988.78,Debit at Starbucks for Tech Gadgets,21869.14
T0002092,2023-03-10 13:26:00,Apple Store,Tech Gadgets,685.8,Debit at Apple Store for Tech Gadgets,21183.34
T0002094,2023-03-11 03:33:00,Amazon,Tech Gadgets,46.89,Debit at Amazon for Tech Gadgets,21778.69
T0002095,2023-03-11 11:53:00,Spotify,Food Delivery,162.16,Debit at Spotify for Food Delivery,21616.53
T0002096,2023-03-11 14:02:00,Apple Store,Social Media Purchases,788.63,Debit at Apple Store for Social Media Purchases,20827.9
T0002100,2023-03-11 17:43:00,Starbucks,Streaming Subscription,101.48,Debit at Starbucks for Streaming Subscription,22117.58
T0002102,2023-03-11 18:35:00,UberEats,Streaming Subscription,165.1,Debit at UberEats for Streaming Subscription,22607.01
T0002103,2023-03-12 01:03:00,Spotify,Beauty Products,484.0,Debit at Spotify for Beauty Products,22123.01
T0002104,2023-03-12 04:14:00,UberEats,Social Media Purchases,838.33,Debit at UberEats for Social Media Purchases,21284.68
T0002105,2023-03-12 16:03:00,Spotify,Tech Gadgets,788.24,Debit at Spotify for Tech Gadgets,20496.44
T0002108,2023-03-12 21:54:00,Spotify,Tech Gadgets,603.65,Debit at Spotify for Tech Gadgets,21210.37
T0002110,2023-03-13 02:15:00,UberEats,Gaming,991.95,Debit at UberEats for Gaming,20369.73
T0002111,2023-03-13 06:18:00,H&M,Gaming,931.27,Debit at H&M for Gaming,19438.46
T0002113,2023-03-13 14:21:00,Apple Store,Food Delivery,492.63,Debit at Apple Store for Food Delivery,18969.86
T0002116,2023-03-13 20:37:00,Amazon,Clothing,19.25,Debit at Amazon for Clothing,19979.59
T0002121,2023-03-15 05:01:00,H&M,Streaming Subscription,213.23,Debit at H&M for Streaming Subscription,22072.02
T0002122,2023-03-15 08:01:00,Apple Store,Coffee,486.07,Debit at Apple Store for Coffee,21585.95
T0002124,2023-03-15 12:28:00,Shein,Food Delivery,826.07,Debit at Shein for Food Delivery,20899.44
T0002125,2023-03-15 13:11:00,Apple Store,Social Media Purchases,486.96,Debit at Apple Store for Social Media Purchases,20412.48
T0002127,2023-03-15 19:58:00,H&M,Streaming Subscription,494.06,Debit at H&M for Streaming Subscription,20336.38
T0002128,2023-03-16 02:17:00,PlayStation Store,Gaming,466.66,Debit at PlayStation Store for Gaming,19869.72
T0002129,2023-03-16 02:46:00,Spotify,Beauty Products,957.57,Debit at Spotify for Beauty Products,18912.15
T0002131,2023-03-16 05:02:00,Apple Store,Streaming Subscription,450.73,Debit at Apple Store for Streaming Subscription,19436.75
T0002137,2023-03-17 08:49:00,Sephora,Beauty Products,309.22,Debit at Sephora for Beauty Products,22984.35
T0002139,2023-03-17 18:39:00,Apple Store,Clothing,196.57,Debit at Apple Store for Clothing,23145.95
T0002140,2023-03-17 20:40:00,TikTok Shop,Tech Gadgets,181.2,Debit at TikTok Shop for Tech Gadgets,22964.75
T0002141,2023-03-17 23:42:00,TikTok Shop,Tech Gadgets,220.44,Debit at TikTok Shop for Tech Gadgets,22744.31
T0002144,2023-03-18 09:04:00,Shein,Coffee,491.11,Debit at Shein for Coffee,22675.3
T0002146,2023-03-18 15:13:00,Amazon,Coffee,441.91,Debit at Amazon for Coffee,23165.6
T0002149,2023-03-19 02:09:00,UberEats,Clothing,145.04,Debit at UberEats for Clothing,23880.55
T0002153,2023-03-19 15:56:00,Netflix,Tech Gadgets,380.19,Debit at Netflix for Tech Gadgets,24821.92
T0002154,2023-03-19 16:41:00,Starbucks,Gaming,54.23,Debit at Starbucks for Gaming,24767.69
T0002155,2023-03-19 18:10:00,Shein,Social Media Purchases,16.05,Debit at Shein for Social Media Purchases,24751.64
T0002157,2023-03-19 23:48:00,Netflix,Clothing,309.46,Debit at Netflix for Clothing,25384.77
T0002159,2023-03-20 06:10:00,UberEats,Social Media Purchases,851.47,Debit at UberEats for Social Media Purchases,25186.09
T0002163,2023-03-20 15:52:00,Netflix,Beauty Products,927.48,Debit at Netflix for Beauty Products,25575.68
T0002164,2023-03-20 19:22:00,Spotify,Streaming Subscription,372.86,Debit at Spotify for Streaming Subscription,25202.82
T0002168,2023-03-21 13:11:00,Netflix,Social Media Purchases,673.01,Debit at Netflix for Social Media Purchases,25719.57
T0002170,2023-03-21 22:08:00,Shein,Beauty Products,166.48,Debit at Shein for Beauty Products,25738.44
T0002172,2023-03-22 08:18:00,Netflix,Clothing,932.97,Debit at Netflix for Clothing,24858.05
T0002173,2023-03-22 08:55:00,Sephora,Social Media Purchases,135.62,Debit at Sephora for Social Media Purchases,24722.43
T0002175,2023-03-22 19:05:00,TikTok Shop,Gaming,495.03,Debit at TikTok Shop for Gaming,24337.03
T0002178,2023-03-23 17:39:00,Amazon,Beauty Products,255.05,Debit at Amazon for Beauty Products,25010.85
T0002182,2023-03-24 00:47:00,TikTok Shop,Beauty Products,600.43,Debit at TikTok Shop for Beauty Products,27133.19
T0002184,2023-03-24 10:43:00,Netflix,Tech Gadgets,52.22,Debit at Netflix for Tech Gadgets,27773.61
T0002186,2023-03-24 14:05:00,Spotify,Streaming Subscription,920.27,Debit at Spotify for Streaming Subscription,26858.39
T0002189,2023-03-24 23:00:00,TikTok Shop,Streaming Subscription,265.42,Debit at TikTok Shop for Streaming Subscription,27228.34
T0002190,2023-03-25 13:12:00,Spotify,Food Delivery,695.78,Debit at Spotify for Food Delivery,26532.56
T0002191,2023-03-25 18:04:00,Starbucks,Gaming,779.81,Debit at Starbucks for Gaming,25752.75
